Asset,Filter,Threshold,N_observations,N_windows,Observed Lift (pp),Boot mean (pp),CI low (pp),CI high (pp),p(lift<=0),n_boot_valid
EUR/GBP,MC-Ulcer p75,75,818656,15,-1.172,-1.112,-1.939,-0.265,0.9951,10000
XAU/USD,MC-MDD p50,50,817097,15,0.014,0.015,-0.311,0.35,0.4725,10000
XAU/USD,MC-MDD p75,75,817097,15,-0.11,-0.106,-0.648,0.485,0.6519,10000
XAU/USD,MC-MDD p90,90,817097,15,-0.336,-0.329,-0.947,0.517,0.8072,10000
XAU/USD,MC-Calmar p50,50,817097,15,0.094,0.093,-0.232,0.409,0.2856,10000
XAU/USD,MC-Calmar p75,75,817097,15,-0.017,-0.019,-0.569,0.559,0.5272,10000
XAU/USD,MC-Calmar p90,90,817097,15,-0.011,-0.012,-0.709,0.795,0.529,10000
XAU/USD,MC-Ulcer p50,50,817097,15,-0.045,-0.042,-0.357,0.283,0.6066,10000
XAU/USD,MC-Ulcer p75,75,817097,15,-0.078,-0.073,-0.541,0.437,0.6246,10000
WTI,MC-MDD p50,50,814176,15,0.2,0.201,0.043,0.342,0.0068,10000
WTI,MC-MDD p75,75,814176,15,0.299,0.301,0.017,0.568,0.0186,10000
WTI,MC-MDD p90,90,814176,15,0.55,0.554,0.015,1.034,0.0228,10000
WTI,MC-Calmar p50,50,814176,15,0.135,0.137,-0.066,0.351,0.1015,10000
WTI,MC-Calmar p75,75,814176,15,0.246,0.251,-0.046,0.596,0.0562,10000
WTI,MC-Calmar p90,90,814176,15,0.334,0.342,-0.161,0.835,0.0912,10000
WTI,MC-Ulcer p50,50,814176,15,0.232,0.231,0.065,0.399,0.0038,10000
WTI,MC-Ulcer p75,75,814176,15,0.312,0.309,-0.012,0.623,0.0309,10000
