Asset,Cost Level,MC Filter,IS Pool (n),MC+IS Pool (n),IS OOS PF>1 %,MC+IS OOS PF>1 %,Lift (pp)
SOL,Slip+200% (3x slip),MC-Calmar p50,108844,55679,33.78,33.62,-0.16
SOL,Slip+200% (3x slip),MC-Ulcer p50,108844,56385,33.78,33.47,-0.31
SOL,Slip+200% (3x slip),MC-ROI* p50 (art.),108844,35433,33.78,32.28,-1.5
SOL,Entry+Indicator drift,MC-MDD p50,139009,70450,40.8,41.02,0.21
SOL,Entry+Indicator drift,MC-Calmar p50,139009,70704,40.8,40.82,0.01
SOL,Entry+Indicator drift,MC-Ulcer p50,139009,71368,40.8,40.91,0.11
SOL,Entry+Indicator drift,MC-ROI* p50 (art.),139009,48681,40.8,39.47,-1.34
EURUSD,"Baseline (1x fee, 1x slip)",MC-MDD p50,76706,28042,21.39,17.27,-4.11
EURUSD,"Baseline (1x fee, 1x slip)",MC-Calmar p50,76706,31559,21.39,18.65,-2.74
EURUSD,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,76706,34484,21.39,19.41,-1.98
EURUSD,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),76706,23587,21.39,19.69,-1.7
EURUSD,Fee+100% (2x fee),MC-MDD p50,76522,27951,21.4,17.29,-4.12
EURUSD,Fee+100% (2x fee),MC-Calmar p50,76522,31468,21.4,18.66,-2.75
EURUSD,Fee+100% (2x fee),MC-Ulcer p50,76522,34390,21.4,19.43,-1.98
EURUSD,Fee+100% (2x fee),MC-ROI* p50 (art.),76522,23499,21.4,19.69,-1.71
EURUSD,Slip+200% (3x slip),MC-MDD p50,76706,28042,21.39,17.27,-4.11
EURUSD,Slip+200% (3x slip),MC-Calmar p50,76706,31559,21.39,18.65,-2.74
EURUSD,Slip+200% (3x slip),MC-Ulcer p50,76706,34484,21.39,19.41,-1.98
EURUSD,Slip+200% (3x slip),MC-ROI* p50 (art.),76706,23587,21.39,19.69,-1.7
EURUSD,Entry+Indicator drift,MC-MDD p50,84116,35770,21.52,19.47,-2.04
EURUSD,Entry+Indicator drift,MC-Calmar p50,84116,38634,21.52,20.17,-1.35
EURUSD,Entry+Indicator drift,MC-Ulcer p50,84116,39668,21.52,20.32,-1.2
EURUSD,Entry+Indicator drift,MC-ROI* p50 (art.),84116,24224,21.52,20.77,-0.74
USDJPY,"Baseline (1x fee, 1x slip)",MC-MDD p50,67838,22797,20.92,17.15,-3.77
USDJPY,"Baseline (1x fee, 1x slip)",MC-Calmar p50,67838,26546,20.92,18.5,-2.42
USDJPY,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,67838,29202,20.92,19.16,-1.76
USDJPY,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),67838,20305,20.92,19.2,-1.72
USDJPY,Fee+100% (2x fee),MC-MDD p50,67707,22736,20.93,17.17,-3.76
USDJPY,Fee+100% (2x fee),MC-Calmar p50,67707,26485,20.93,18.52,-2.41
USDJPY,Fee+100% (2x fee),MC-Ulcer p50,67707,29144,20.93,19.17,-1.76
USDJPY,Fee+100% (2x fee),MC-ROI* p50 (art.),67707,20235,20.93,19.23,-1.71
USDJPY,Slip+200% (3x slip),MC-MDD p50,67838,22797,20.92,17.15,-3.77
USDJPY,Slip+200% (3x slip),MC-Calmar p50,67838,26546,20.92,18.5,-2.42
USDJPY,Slip+200% (3x slip),MC-Ulcer p50,67838,29202,20.92,19.16,-1.76
USDJPY,Slip+200% (3x slip),MC-ROI* p50 (art.),67838,20305,20.92,19.2,-1.72
USDJPY,Entry+Indicator drift,MC-MDD p50,74343,30534,21.93,19.84,-2.1
USDJPY,Entry+Indicator drift,MC-Calmar p50,74343,33102,21.93,20.39,-1.55
USDJPY,Entry+Indicator drift,MC-Ulcer p50,74343,33908,21.93,20.58,-1.36
USDJPY,Entry+Indicator drift,MC-ROI* p50 (art.),74343,21155,21.93,21.11,-0.82
EURGBP,"Baseline (1x fee, 1x slip)",MC-MDD p50,201101,79380,35.35,33.38,-1.97
EURGBP,"Baseline (1x fee, 1x slip)",MC-Calmar p50,201101,85986,35.35,34.12,-1.23
EURGBP,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,201101,91720,35.35,34.18,-1.17
EURGBP,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),201101,60634,35.35,34.66,-0.69
EURGBP,Fee+100% (2x fee),MC-MDD p50,200477,79078,35.32,33.34,-1.97
EURGBP,Fee+100% (2x fee),MC-Calmar p50,200477,85684,35.32,34.09,-1.23
EURGBP,Fee+100% (2x fee),MC-Ulcer p50,200477,91410,35.32,34.16,-1.15
EURGBP,Fee+100% (2x fee),MC-ROI* p50 (art.),200477,60347,35.32,34.63,-0.69
EURGBP,Slip+200% (3x slip),MC-MDD p50,201101,79380,35.35,33.38,-1.97
EURGBP,Slip+200% (3x slip),MC-Calmar p50,201101,85986,35.35,34.12,-1.23
EURGBP,Slip+200% (3x slip),MC-Ulcer p50,201101,91720,35.35,34.18,-1.17
EURGBP,Slip+200% (3x slip),MC-ROI* p50 (art.),201101,60634,35.35,34.66,-0.69
EURGBP,Entry+Indicator drift,MC-MDD p50,219279,93229,36.14,34.7,-1.44
EURGBP,Entry+Indicator drift,MC-Calmar p50,219279,101051,36.14,35.66,-0.48
EURGBP,Entry+Indicator drift,MC-Ulcer p50,219279,102395,36.14,35.2,-0.94
EURGBP,Entry+Indicator drift,MC-ROI* p50 (art.),219279,65302,36.14,35.74,-0.4
XAUUSD,"Baseline (1x fee, 1x slip)",MC-MDD p50,657969,348490,55.7,55.73,0.02
XAUUSD,"Baseline (1x fee, 1x slip)",MC-Calmar p50,657969,348916,55.7,55.72,0.02
XAUUSD,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,657969,347345,55.7,55.67,-0.03
XAUUSD,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),657969,179089,55.7,55.13,-0.58
XAUUSD,Fee+100% (2x fee),MC-MDD p50,628502,332601,52.4,52.36,-0.05
XAUUSD,Fee+100% (2x fee),MC-Calmar p50,628502,333025,52.4,52.35,-0.05
XAUUSD,Fee+100% (2x fee),MC-Ulcer p50,628502,331816,52.4,52.3,-0.11
XAUUSD,Fee+100% (2x fee),MC-ROI* p50 (art.),628502,165986,52.4,51.87,-0.53
XAUUSD,Slip+200% (3x slip),MC-MDD p50,657969,348490,55.7,55.73,0.02
XAUUSD,Slip+200% (3x slip),MC-Calmar p50,657969,348916,55.7,55.72,0.02
XAUUSD,Slip+200% (3x slip),MC-Ulcer p50,657969,347345,55.7,55.67,-0.03
XAUUSD,Slip+200% (3x slip),MC-ROI* p50 (art.),657969,179089,55.7,55.13,-0.58
XAUUSD,Entry+Indicator drift,MC-MDD p50,655721,346514,55.22,55.31,0.08
XAUUSD,Entry+Indicator drift,MC-Calmar p50,655721,344018,55.22,55.3,0.08
XAUUSD,Entry+Indicator drift,MC-Ulcer p50,655721,345574,55.22,55.24,0.01
XAUUSD,Entry+Indicator drift,MC-ROI* p50 (art.),655721,179339,55.22,54.92,-0.3
WTI,"Baseline (1x fee, 1x slip)",MC-MDD p50,584731,298388,43.76,43.98,0.22
WTI,"Baseline (1x fee, 1x slip)",MC-Calmar p50,584731,299181,43.76,43.99,0.23
WTI,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,584731,298506,43.76,44.01,0.25
WTI,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),584731,166445,43.76,43.58,-0.18
