Asset,Filter,N,Median OOS PF,Mean OOS PF,% OOS PF>1,Median OOS Sharpe
EUR/USD,Calmar ≥ p50,417863,0.524,17.9962,11.2,-0.1889
EUR/USD,Calmar ≥ p75,217556,0.524,17.7717,10.88,-0.1888
EUR/USD,Calmar ≥ p90,92964,0.524,18.0221,10.43,-0.189
EUR/USD,Calmar < p50,401744,0.5225,21.0164,12.41,-0.1904
EUR/USD,Ulcer all,819607,0.524,19.4766,11.8,-0.1896
EUR/USD,Ulcer ≥ p50,399070,0.5128,20.4409,11.39,-0.1951
EUR/USD,Ulcer ≥ p75,205428,0.5051,19.7398,10.91,-0.1997
EUR/USD,Ulcer ≥ p90,86874,0.4987,18.6844,10.05,-0.2046
EUR/USD,Ulcer < p50,420537,0.5307,18.5615,12.18,-0.1842
EUR/USD,ROI* all,819607,0.524,19.4766,11.8,-0.1896
EUR/USD,ROI* ≥ p50,190383,0.524,21.9101,12.88,-0.1884
EUR/USD,ROI* ≥ p75,78659,0.524,23.357,13.09,-0.188
EUR/USD,ROI* ≥ p90,27354,0.524,24.6648,12.99,-0.189
EUR/USD,ROI* < p50,629224,0.5238,18.7403,11.47,-0.19
USD/JPY,MDD all,809992,0.4423,19.7341,9.21,-0.2404
USD/JPY,MDD ≥ p50,382709,0.4386,18.1417,8.74,-0.2428
USD/JPY,MDD ≥ p75,190068,0.4367,17.6873,8.59,-0.2439
USD/JPY,MDD ≥ p90,76662,0.438,17.9768,8.6,-0.2433
USD/JPY,MDD < p50,427283,0.4467,21.1603,9.64,-0.2384
USD/JPY,Calmar all,809992,0.4423,19.7341,9.21,-0.2404
USD/JPY,Calmar ≥ p50,407935,0.4424,18.0219,8.64,-0.2403
USD/JPY,Calmar ≥ p75,211412,0.44,18.0494,8.37,-0.2414
USD/JPY,Calmar ≥ p90,89860,0.4379,16.0688,7.84,-0.242
USD/JPY,Calmar < p50,402057,0.4422,21.4713,9.8,-0.2406
USD/JPY,Ulcer all,809992,0.4423,19.7341,9.21,-0.2404
USD/JPY,Ulcer ≥ p50,384892,0.4317,19.3032,9.03,-0.2475
USD/JPY,Ulcer ≥ p75,195507,0.4226,18.9593,8.77,-0.2539
USD/JPY,Ulcer ≥ p90,81426,0.4117,18.264,8.21,-0.2616
