Asset,Filter,Threshold,N Pass,N Fail,Pass Next OOS%,Fail Next OOS%,Baseline%,Lift (pp)
EUR/GBP,MC-ROI* p50,50,201642,561604,28.26,27.42,27.64,0.62
EUR/GBP,MC-ROI* p75,75,85012,678234,28.18,27.57,27.64,0.54
XAU/USD,MC-MDD p50,50,401861,360520,55.56,55.14,55.36,0.2
XAU/USD,MC-MDD p75,75,207576,554805,55.45,55.33,55.36,0.08
XAU/USD,MC-MDD p90,90,86347,676034,55.25,55.38,55.36,-0.11
XAU/USD,MC-Calmar p50,50,395141,367240,55.51,55.21,55.36,0.14
XAU/USD,MC-Calmar p75,75,202142,560239,55.35,55.37,55.36,-0.01
XAU/USD,MC-Calmar p90,90,83584,678797,54.98,55.41,55.36,-0.38
XAU/USD,MC-Ulcer p50,50,400355,362026,55.55,55.15,55.36,0.19
XAU/USD,MC-Ulcer p75,75,207411,554970,55.42,55.34,55.36,0.06
XAU/USD,MC-ROI* p50,50,217194,545187,55.52,55.3,55.36,0.15
XAU/USD,MC-ROI* p75,75,92318,670063,55.26,55.38,55.36,-0.11
WTI,MC-MDD p50,50,387902,371343,43.27,43.4,43.34,-0.06
WTI,MC-MDD p75,75,197518,561727,43.2,43.38,43.34,-0.13
WTI,MC-MDD p90,90,81044,678201,43.4,43.33,43.34,0.06
WTI,MC-Calmar p50,50,382633,376612,43.26,43.41,43.34,-0.07
WTI,MC-Calmar p75,75,193547,565698,43.18,43.39,43.34,-0.15
WTI,MC-Calmar p90,90,78976,680269,43.31,43.34,43.34,-0.02
WTI,MC-Ulcer p50,50,387489,371756,43.25,43.42,43.34,-0.08
WTI,MC-Ulcer p75,75,197832,561413,43.16,43.4,43.34,-0.18
WTI,MC-ROI* p50,50,224754,534491,43.19,43.4,43.34,-0.14
WTI,MC-ROI* p75,75,96577,662668,43.18,43.36,43.34,-0.16
