Asset,Filter,Same-Window OOS Prof%,Pool Size,Lift (pp)
BTC,No filter,31.763223251620115,758588,0.0
BTC,IS PF>1,34.00487646975262,429409,2.2416532181325017
BTC,Rob: ENT,34.46219923988754,353895,2.6989759882674242
BTC,Rob: FEE,35.74349202247917,309620,3.980268770859052
BTC,Rob: SLI,36.1799691273949,286338,4.416745875774783
BTC,Rob: ENT+IND,34.50793477535824,329814,2.744711523738122
BTC,Rob: All 4,36.16510604062842,223735,4.401882789008308
BTC,MC-MDD p50,31.609823650110457,394273,-0.15339960150965837
BTC,MC-MDD p75,31.46089099357214,202089,-0.3023322580479757
BTC,MC-MDD p90,31.33317173675918,82510,-0.43005151486093496
BTC,MC-Calmar p50,31.82004047639998,386398,0.05681722477986639
BTC,MC-Calmar p75,31.97812224425403,196181,0.2148989926339162
BTC,MC-Calmar p90,32.06019680690832,79672,0.2969735552882078
BTC,MC-Ulcer p50,31.63333075913198,388470,-0.1298924924881355
BTC,MC-Ulcer p75,31.50058604801552,197936,-0.2626372036045943
BTC,MC-MDD p50 + IS PF>1,33.822219267335946,225615,2.058996015715831
BTC,MC-MDD p75 + IS PF>1,33.728328911100235,116457,1.9651056594801197
BTC,MC-MDD p90 + IS PF>1,33.602511410809804,48419,1.8392881591896888
BTC,MC-Calmar p50 + IS PF>1,33.8293299844347,226144,2.0661067328145855
BTC,MC-Calmar p75 + IS PF>1,33.776391144542266,116990,2.0131678929221515
BTC,MC-Calmar p90 + IS PF>1,33.652348553160095,48796,1.8891253015399805
BTC,MC-Ulcer p50 + IS PF>1,33.88139158358337,222969,2.1181683319632576
BTC,MC-Ulcer p75 + IS PF>1,33.64097992431195,114417,1.8777566726918344
BTC,MC-ROI* p50,30.52014652014652,273000,-1.2430767314735967
BTC,MC-ROI* p75,30.455309472018982,121368,-1.307913779601133
DOGE,No filter,35.84734539657434,637308,0.0
DOGE,IS PF>1,38.49417067243354,373628,2.6468252758592
DOGE,Rob: ENT,38.918645024604075,294057,3.0712996280297347
DOGE,Rob: FEE,39.89352523268408,272365,4.0461798361097365
DOGE,Rob: SLI,40.10950591971936,253137,4.26216052314502
DOGE,Rob: ENT+IND,39.09460558416915,276675,3.2472601875948115
DOGE,Rob: All 4,40.39655825650543,182117,4.549212859931089
DOGE,MC-MDD p50,35.92534214015862,319752,0.07799674358427922
DOGE,MC-MDD p75,36.02185410637661,160336,0.17450870980226796
DOGE,MC-MDD p90,36.22225720132221,63530,0.37491180474786745
DOGE,MC-Calmar p50,35.96896084266949,320885,0.12161544609514863
DOGE,MC-Calmar p75,36.1308070348963,161765,0.2834616383219597
DOGE,MC-Calmar p90,35.98345588235294,65280,0.13611048577860174
