Asset,MC Metric,Threshold,Pass rate | IS PF>1 (%),Pass rate | IS PF<=1 (%),Diff (pp),Selection bias ratio
XAU/USD,ROI*,75,11.42,14.42,-3.0,0.792
XAU/USD,ROI*,90,4.0,5.2,-1.2,0.769
WTI,MDD,50,51.03,51.31,-0.28,0.995
WTI,MDD,75,26.01,26.01,0.0,1.0
WTI,MDD,90,10.7,10.6,0.11,1.01
WTI,Calmar,50,51.16,48.61,2.55,1.053
WTI,Calmar,75,26.16,23.81,2.35,1.099
WTI,Calmar,90,10.8,9.36,1.44,1.154
WTI,Ulcer,50,51.05,51.07,-0.02,1.0
WTI,Ulcer,75,26.15,25.73,0.42,1.016
WTI,Ulcer,90,10.86,10.39,0.47,1.045
WTI,ROI*,50,28.46,32.65,-4.19,0.872
WTI,ROI*,75,12.12,14.26,-2.14,0.85
WTI,ROI*,90,4.3,5.12,-0.82,0.84
