config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
crypto,10,1,175,-283.6400275415177,3372.798838797479,-0.8409633692907855,2241.9570250458687,23.200000000000003,3.1,96.9,0.7000000000000001
crypto,10,2,164,-56.30061188417896,1288.9295579581362,-0.4368013095561859,533.2778389022193,8.0,19.3,80.7,58.0
crypto,10,3,206,90.95857419583133,423.0264327332052,2.1501865405464438,194.08973329822982,74.4,96.9,96.9,89.7
crypto,10,4,154,146.13414469459752,721.0657118802038,2.0266411547090164,239.686093216277,41.300000000000004,20.6,20.6,35.4
crypto,10,5,162,52.908184137202575,895.5803597271257,0.5907698126980271,371.07217462423307,59.900000000000006,23.5,23.5,31.3
crypto,10,6,152,51.74177504834847,1050.7379442584756,0.4924327262670956,571.7537901962523,1.7000000000000002,10.8,10.8,3.2
crypto,10,7,191,81.60826392332534,620.5087712232867,1.3151830837530427,320.1725974424723,27.6,71.2,71.2,42.0
crypto,10,8,147,-62.69046097506323,900.8959469767567,-0.695867943300678,505.0269038991115,40.6,57.7,42.300000000000004,52.300000000000004
crypto,10,9,181,-160.34276854589325,1818.2330974100619,-0.8818603553872694,1260.5369065905859,35.2,51.400000000000006,48.6,12.100000000000001
crypto,10,10,231,122.40761490645077,535.5103472801654,2.2858123195593496,204.81340985422767,18.1,71.7,71.7,73.10000000000001
crypto,10,11,160,-70.01111689684828,1136.7559657771553,-0.6158851944004043,564.4922613908514,9.3,40.1,59.900000000000006,54.6
crypto,10,12,146,-45.05510051540629,596.6354408372796,-0.755152936476232,383.4519394641759,39.6,95.0,5.0,70.0
crypto,10,13,174,-188.80620975159778,1999.5570815479903,-0.944240159452864,1050.4013683105259,8.200000000000001,50.7,49.300000000000004,76.0
crypto,10,14,173,-86.87621153386056,1446.9821466750013,-0.6003958772642227,682.3997522065598,1.5,8.0,92.0,40.7
